Game_ID,Agent_Color,Winner,Moves,Phase
1,White,Agent,45,Middlegame
2,Black,Agent,30,Middlegame
3,White,Stockfish,35,Middlegame
4,Black,Stockfish,45,Middlegame
5,White,Stockfish,22,Middlegame
6,Black,Draw,83,Endgame
7,White,Stockfish,19,Middlegame
8,Black,Stockfish,39,Middlegame
9,White,Draw,59,Endgame
10,Black,Stockfish,56,Endgame
11,White,Stockfish,52,Middlegame
12,Black,Agent,38,Endgame
13,White,Stockfish,51,Middlegame
14,Black,Stockfish,35,Endgame
15,White,Agent,68,Endgame
16,Black,Agent,37,Middlegame
17,White,Draw,230,Endgame
18,Black,Agent,52,Endgame
19,White,Agent,38,Middlegame
20,Black,Stockfish,41,Endgame
21,White,Agent,96,Endgame
22,Black,Stockfish,80,Middlegame
23,White,Draw,151,Endgame
24,Black,Stockfish,39,Middlegame
25,White,Agent,31,Middlegame
26,Black,Draw,242,Endgame
27,White,Stockfish,36,Middlegame
28,Black,Stockfish,94,Endgame
29,White,Stockfish,33,Middlegame
30,Black,Agent,34,Middlegame
31,White,Draw,165,Endgame
32,Black,Stockfish,69,Middlegame
33,White,Agent,32,Endgame
34,Black,Draw,64,Endgame
35,White,Agent,48,Middlegame
36,Black,Stockfish,34,Middlegame
37,White,Stockfish,137,Endgame
38,Black,Stockfish,45,Middlegame
39,White,Agent,36,Middlegame
40,Black,Agent,34,Endgame
41,White,Stockfish,30,Middlegame
42,Black,Stockfish,59,Endgame
43,White,Stockfish,31,Middlegame
44,Black,Stockfish,32,Middlegame
45,White,Stockfish,29,Middlegame
46,Black,Stockfish,36,Middlegame
47,White,Stockfish,39,Middlegame
48,Black,Stockfish,104,Endgame
49,White,Draw,115,Endgame
50,Black,Stockfish,39,Middlegame
51,White,Agent,36,Endgame
52,Black,Stockfish,32,Middlegame
53,White,Stockfish,125,Endgame
54,Black,Stockfish,28,Middlegame
55,White,Stockfish,24,Middlegame
56,Black,Agent,48,Endgame
57,White,Stockfish,27,Middlegame
58,Black,Agent,44,Endgame
59,White,Draw,111,Endgame
60,Black,Agent,33,Middlegame
61,White,Agent,28,Middlegame
62,Black,Stockfish,49,Middlegame
63,White,Stockfish,33,Middlegame
64,Black,Agent,39,Endgame
65,White,Stockfish,131,Endgame
66,Black,Stockfish,55,Middlegame
67,White,Agent,31,Middlegame
68,Black,Stockfish,49,Endgame
69,White,Agent,51,Endgame
70,Black,Stockfish,50,Middlegame
71,White,Draw,180,Endgame
72,Black,Draw,29,Middlegame
73,White,Agent,26,Middlegame
74,Black,Stockfish,31,Middlegame
75,White,Stockfish,37,Middlegame
76,Black,Draw,104,Endgame
77,White,Agent,23,Middlegame
78,Black,Agent,45,Middlegame
79,White,Stockfish,83,Endgame
80,Black,Agent,82,Endgame
81,White,Stockfish,52,Middlegame
82,Black,Stockfish,23,Middlegame
83,White,Stockfish,123,Endgame
84,Black,Stockfish,15,Opening
85,White,Stockfish,14,Opening
86,Black,Draw,239,Endgame
87,White,Stockfish,130,Endgame
88,Black,Draw,200,Endgame
89,White,Agent,22,Middlegame
90,Black,Draw,181,Endgame
91,White,Draw,220,Endgame
92,Black,Agent,40,Endgame
93,White,Agent,172,Endgame
94,Black,Agent,41,Endgame
95,White,Stockfish,18,Middlegame
96,Black,Agent,30,Middlegame
97,White,Agent,40,Endgame
98,Black,Stockfish,35,Middlegame
99,White,Draw,191,Endgame
100,Black,Stockfish,42,Endgame
