Game_ID,Agent_Color,Winner,Moves,Phase
1,White,Agent,26,Middlegame
2,Black,Agent,30,Middlegame
3,White,Agent,20,Middlegame
4,Black,Agent,16,Middlegame
5,White,Agent,12,Opening
6,Black,Agent,34,Middlegame
7,White,Agent,23,Middlegame
8,Black,Agent,27,Middlegame
9,White,Agent,20,Middlegame
10,Black,Draw,59,Middlegame
11,White,Agent,8,Opening
12,Black,Agent,32,Middlegame
13,White,Agent,12,Opening
14,Black,Agent,19,Middlegame
15,White,Agent,15,Opening
16,Black,Agent,11,Opening
17,White,Agent,13,Opening
18,Black,Agent,31,Middlegame
19,White,Agent,10,Opening
20,Black,Agent,21,Middlegame
21,White,Agent,17,Middlegame
22,Black,Agent,30,Middlegame
23,White,Agent,5,Opening
24,Black,Agent,49,Middlegame
25,White,Agent,8,Opening
26,Black,Agent,39,Endgame
27,White,Agent,15,Opening
28,Black,Agent,23,Middlegame
29,White,Agent,14,Opening
30,Black,Agent,32,Middlegame
31,White,Agent,10,Opening
32,Black,Agent,30,Middlegame
33,White,Agent,26,Middlegame
34,Black,Agent,20,Middlegame
35,White,Agent,25,Middlegame
36,Black,Agent,16,Middlegame
37,White,Agent,40,Middlegame
38,Black,Agent,61,Middlegame
39,White,Agent,29,Middlegame
40,Black,Agent,24,Middlegame
41,White,Agent,26,Middlegame
42,Black,Agent,38,Middlegame
43,White,Agent,8,Opening
44,Black,Agent,37,Endgame
45,White,Agent,14,Opening
46,Black,Agent,24,Middlegame
47,White,Agent,17,Middlegame
48,Black,Agent,31,Middlegame
49,White,Agent,21,Middlegame
50,Black,Agent,7,Opening
51,White,Agent,19,Middlegame
52,Black,Agent,31,Middlegame
53,White,Agent,24,Middlegame
54,Black,Agent,19,Middlegame
55,White,Agent,13,Opening
56,Black,Agent,28,Middlegame
57,White,Agent,17,Middlegame
58,Black,Agent,20,Middlegame
59,White,Agent,31,Middlegame
60,Black,Agent,19,Middlegame
61,White,Agent,27,Endgame
62,Black,Draw,23,Middlegame
63,White,Agent,18,Middlegame
64,Black,Agent,20,Middlegame
65,White,Agent,13,Opening
66,Black,Agent,13,Opening
67,White,Agent,13,Opening
68,Black,Agent,25,Middlegame
69,White,Agent,17,Middlegame
70,Black,Agent,30,Middlegame
71,White,Agent,24,Middlegame
72,Black,Agent,31,Middlegame
73,White,Agent,27,Middlegame
74,Black,Agent,22,Middlegame
75,White,Agent,22,Middlegame
76,Black,Agent,27,Middlegame
77,White,Agent,38,Middlegame
78,Black,Draw,58,Middlegame
79,White,Agent,18,Middlegame
80,Black,Agent,18,Middlegame
81,White,Agent,17,Middlegame
82,Black,Draw,50,Middlegame
83,White,Agent,36,Middlegame
84,Black,Agent,45,Middlegame
85,White,Agent,7,Opening
86,Black,Agent,26,Middlegame
87,White,Agent,19,Middlegame
88,Black,Agent,16,Middlegame
89,White,Draw,85,Middlegame
90,Black,Agent,20,Middlegame
91,White,Agent,37,Middlegame
92,Black,Agent,28,Middlegame
93,White,Agent,16,Middlegame
94,Black,Agent,18,Middlegame
95,White,Agent,15,Opening
96,Black,Agent,23,Middlegame
97,White,Agent,14,Opening
98,Black,Agent,24,Middlegame
99,White,Agent,12,Opening
100,Black,Agent,25,Middlegame
